word,realpseudo,a,b,c,d,corpusId
Menino,real,1,0,0.5,1,portuguese-core
Jogo,real,1,0,0.5,1,portuguese-core
Rio,real,1,0,0.5,1,portuguese-core
Par,real,1,0,0.5,1,portuguese-core
Número,real,1,0,0.5,1,portuguese-core
Professor,real,1,0,0.5,1,portuguese-core
Leão,real,1,0,0.5,1,portuguese-core
Dica,real,1,0,0.5,1,portuguese-core
Nome,real,1,0,0.5,1,portuguese-core
Bebê,real,1,0,0.5,1,portuguese-core
Letra,real,1,0,0.5,1,portuguese-core
Mais,real,1,0,0.5,1,portuguese-core
Uva,real,1,0,0.5,1,portuguese-core
Sol,real,1,0,0.5,1,portuguese-core
Flor,real,1,0,0.5,1,portuguese-core
Casa,real,1,0,0.5,1,portuguese-core
Bola,real,1,0,0.5,1,portuguese-core
Gato,real,1,0,0.5,1,portuguese-core
Coruja,real,1,0,0.5,1,portuguese-core
Bonito,real,1,0,0.5,1,portuguese-core
Pular,real,1,0,0.5,1,portuguese-core
Correr,real,1,0,0.5,1,portuguese-core
Fogo,real,1,0,0.5,1,portuguese-core
Lobo,real,1,0,0.5,1,portuguese-core
Pipa,real,1,0,0.5,1,portuguese-core
Conversa,real,1,0,0.5,1,portuguese-core
Sucata,real,1,0,0.5,1,portuguese-core
Vai,real,1,0,0.5,1,portuguese-core
Sugestão,real,1,0,0.5,1,portuguese-core
Módulo,real,1,0,0.5,1,portuguese-core
Composição,real,1,0,0.5,1,portuguese-core
Obra,real,1,0,0.5,1,portuguese-core
Táxi,real,1,0,0.5,1,portuguese-core
Fantasia,real,1,0,0.5,1,portuguese-core
Maré,real,1,0,0.5,1,portuguese-core
Alerta,real,1,0,0.5,1,portuguese-core
Redondo,real,1,0,0.5,1,portuguese-core
Sossegar,real,1,0,0.5,1,portuguese-core
Personagem,real,1,0,0.5,1,portuguese-core
Reler,real,1,0,0.5,1,portuguese-core
Flupa,pseudo,1,0,0.5,1,portuguese-core
Quelfa,pseudo,1,0,0.5,1,portuguese-core
Blide,pseudo,1,0,0.5,1,portuguese-core
Gruto,pseudo,1,0,0.5,1,portuguese-core
Esnito,pseudo,1,0,0.5,1,portuguese-core
Drinco,pseudo,1,0,0.5,1,portuguese-core
Mou,pseudo,1,0,0.5,1,portuguese-core
Trusco,pseudo,1,0,0.5,1,portuguese-core
Brulha,pseudo,1,0,0.5,1,portuguese-core
Nifa,pseudo,1,0,0.5,1,portuguese-core
Glido,pseudo,1,0,0.5,1,portuguese-core
Franto,pseudo,1,0,0.5,1,portuguese-core
Flimo,pseudo,1,0,0.5,1,portuguese-core
Grinte,pseudo,1,0,0.5,1,portuguese-core
Blimpa,pseudo,1,0,0.5,1,portuguese-core
Quirvo,pseudo,1,0,0.5,1,portuguese-core
Crelatimbo,pseudo,1,0,0.5,1,portuguese-core
Trusba,pseudo,1,0,0.5,1,portuguese-core
Drinto,pseudo,1,0,0.5,1,portuguese-core
Esnarco,pseudo,1,0,0.5,1,portuguese-core
Zir,pseudo,1,0,0.5,1,portuguese-core
Esnurcofa,pseudo,1,0,0.5,1,portuguese-core
Flumba,pseudo,1,0,0.5,1,portuguese-core
Grintiza,pseudo,1,0,0.5,1,portuguese-core
Drusco,pseudo,1,0,0.5,1,portuguese-core
Prara,pseudo,1,0,0.5,1,portuguese-core
Adasse,pseudo,1,0,0.5,1,portuguese-core
Carame,pseudo,1,0,0.5,1,portuguese-core
Linta,pseudo,1,0,0.5,1,portuguese-core
Garar,pseudo,1,0,0.5,1,portuguese-core
Zarar,pseudo,1,0,0.5,1,portuguese-core
Aci,pseudo,1,0,0.5,1,portuguese-core
Estara,pseudo,1,0,0.5,1,portuguese-core
Soliza,pseudo,1,0,0.5,1,portuguese-core
Emosta,pseudo,1,0,0.5,1,portuguese-core
Faliza,pseudo,1,0,0.5,1,portuguese-core
Chados,pseudo,1,0,0.5,1,portuguese-core
Escula,pseudo,1,0,0.5,1,portuguese-core
Agelhe,pseudo,1,0,0.5,1,portuguese-core
Itável,pseudo,1,0,0.5,1,portuguese-core
Dançar,real,1,0,0.5,1,portuguese-core
Perna,real,1,0,0.5,1,portuguese-core
Atividade,real,1,0,0.5,1,portuguese-core
Grande,real,1,0,0.5,1,portuguese-core
Mão,real,1,0,0.5,1,portuguese-core
Planta,real,1,0,0.5,1,portuguese-core
Linha,real,1,0,0.5,1,portuguese-core
Rápido,real,1,0,0.5,1,portuguese-core
Coleção,real,1,0,0.5,1,portuguese-core
Cor,real,1,0,0.5,1,portuguese-core
Triste,real,1,0,0.5,1,portuguese-core
Esperto,real,1,0,0.5,1,portuguese-core
Diferença,real,1,0,0.5,1,portuguese-core
Turma,real,1,0,0.5,1,portuguese-core
Carro,real,1,0,0.5,1,portuguese-core
Caderno,real,1,0,0.5,1,portuguese-core
Princesa,real,1,0,0.5,1,portuguese-core
Crer,real,1,0,0.5,1,portuguese-core
Desenho,real,1,0,0.5,1,portuguese-core
Vogal,real,1,0,0.5,1,portuguese-core
Aciando,pseudo,1,0,0.5,1,portuguese-core
Andostar,pseudo,1,0,0.5,1,portuguese-core
Aparame,pseudo,1,0,0.5,1,portuguese-core
Baramem,pseudo,1,0,0.5,1,portuguese-core
Contera,pseudo,1,0,0.5,1,portuguese-core
Dística,pseudo,1,0,0.5,1,portuguese-core
Distrano,pseudo,1,0,0.5,1,portuguese-core
Enterame,pseudo,1,0,0.5,1,portuguese-core
Inadosta,pseudo,1,0,0.5,1,portuguese-core
Esticolo,pseudo,1,0,0.5,1,portuguese-core
Mandosta,pseudo,1,0,0.5,1,portuguese-core
Minadostra,pseudo,1,0,0.5,1,portuguese-core
Quira,pseudo,1,0,0.5,1,portuguese-core
Radasse,pseudo,1,0,0.5,1,portuguese-core
Ramencio,pseudo,1,0,0.5,1,portuguese-core
Randista,pseudo,1,0,0.5,1,portuguese-core
Saramé,pseudo,1,0,0.5,1,portuguese-core
Solizado,pseudo,1,0,0.5,1,portuguese-core
Tramente,pseudo,1,0,0.5,1,portuguese-core
Trandis,pseudo,1,0,0.5,1,portuguese-core
